№корня;Корень;Наименование;Наименование;
12;Электроника;Tелевизоры;Все телевизоры
12;Электроника;Tелевизоры;QLED телевизоры
12;Электроника;Tелевизоры;Nano Cell телевизоры
12;Электроника;Tелевизоры;Ultra HD (4K) телевизоры
12;Электроника;Tелевизоры;Smart телевизоры
12;Электроника;Tелевизоры;Изогнутые телевизоры Samsung
12;Электроника;Tелевизоры;Android TV
12;Электроника;DVD, Blu-Ray, Видео;DVD плееры
12;Электроника;DVD, Blu-Ray, Видео;Blu-Ray плееры
12;Электроника;DVD, Blu-Ray, Видео;Проекторы
12;Электроника;DVD, Blu-Ray, Видео;Мультимедийные проигрыватели
12;Электроника;DVD, Blu-Ray, Видео;Аудио и Hi-Fi техника
12;Электроника;DVD, Blu-Ray, Видео;Саундбары
12;Электроника;DVD, Blu-Ray, Видео;Домашние кинотеатры
12;Электроника;Акустические системы;Сабвуферы
12;Электроника;Акустические системы;Ресиверы
12;Электроника;Музыкальные центры;Проигрыватели виниловых дисков
12;Электроника;Музыкальные центры;Аксессуары для виниловых проигрывателей
12;Электроника;Музыкальные центры;Стойки для Hi-Fi аппаратуры
12;Электроника;Спутниковое, цифровое, кабельное TВ;Спутниковое TВ
12;Электроника;Спутниковое, цифровое, кабельное TВ;Цифровое TВ
12;Электроника;Спутниковое, цифровое, кабельное TВ;Кабельное TВ
12;Электроника;Мультимедийные проигрыватели;TВ-Антенны
12;Электроника;Мультимедийные проигрыватели;Tумбы, стойки и кронштейны для телевизоров
12;Электроника;Мультимедийные проигрыватели;Tумбы и стойки для телевизоров
12;Электроника;Мультимедийные проигрыватели;Кронштейны для телевизоров
12;Электроника;Мультимедийные проигрыватели;Портативное аудио
12;Электроника;Мультимедийные проигрыватели;MP3-плееры
12;Электроника;Мультимедийные проигрыватели;Apple iPod
12;Электроника;Портативная акустика;
12;Электроника;Портативная акустика;Радио
12;Электроника;Портативная акустика;Часы с радио
12;Электроника;Портативная акустика;Диктофоны
12;Электроника;Портативная акустика;Магнитолы с CD
12;Электроника;Портативная акустика;Магнитолы с USB
12;Электроника;Портативная акустика;Наушники и гарнитуры
12;Электроника;Портативная акустика;Беспроводные наушники
12;Электроника;Портативная акустика;Наушники Sony
12;Электроника;Портативная акустика;Музыкальные инструменты
12;Электроника;Портативная акустика;Синтезаторы и цифровые пианино
12;Электроника;Портативная акустика;Гитары
12;Электроника;Портативная акустика;Ударные установки
12;Электроника;Портативная акустика;Аксессуары для музыкальных инструментов
12;Электроника;Фото и видео;Зеркальные фотоаппараты
12;Электроника;Фото и видео;Цифровые фотоаппараты
12;Электроника;Фото и видео;Цифровые фотоаппараты со сменной оптикой
12;Электроника;Фото и видео;Фотоаппараты моментальной печати
12;Электроника;Фото и видео;Цифровые видеокамеры
12;Электроника;Фото и видео;Экшн-камеры
12;Электроника;Фото и видео;Объективы, оптика, вспышки
12;Электроника;Фото и видео;Цифровые фоторамки
12;Электроника;Фото и видео;Компактные фотопринтеры
12;Электроника;Фото и видео;Карты памяти
12;Электроника;Фото и видео;Умный дом
12;Электроника;Фото и видео;Аксессуары для фото и видео
12;Электроника;Автотовары;Автомагнитолы
12;Электроника;Автотовары;Видеорегистраторы
12;Электроника;Автотовары;Радар-детекторы
12;Электроника;Автотовары;GPS-навигаторы
12;Электроника;Автотовары;Автомобильные телевизоры
12;Электроника;Автотовары;Багажники и чехлы
12;Электроника;Автотовары;Минимойки
